,0,1,2,3,4
0,-0.13142164,-0.091734365,-0.065611616,-0.072684616,-0.014832287
1,-0.23395762,-0.16887398,-0.17051175,0.034497574,-0.098428436
2,-0.042330697,-0.1526163,-0.09631021,-0.16329604,-0.24085104
3,-0.0063374103,-0.17359582,-0.157804,-0.4030601,-0.25746366
4,0.25033048,0.24257606,0.03159437,-0.21121371,-0.18810372
,0,1,2,3,4
0,0.034274474,0.09003878,0.0077904263,0.03537996,0.00849533
1,0.044620685,0.056308612,-0.01553287,0.04638475,0.0242702
2,-0.04052614,-0.042141743,-0.019917995,0.08868564,-0.09955372
3,0.0036963052,0.029770175,0.060736693,0.020273946,0.026258016
4,-0.061812356,-0.037000604,-0.017581489,0.07676645,-0.060084034
,0,1,2,3,4
0,-0.1667632,-0.35049435,-0.24742444,0.01552098,0.06055126
1,-0.32122788,-0.18937293,-0.0651309,0.012377317,-0.018955171
2,-0.25785807,-0.032219335,0.058967363,0.06741237,0.108454585
3,-0.19238186,-0.21721403,-0.17740132,-0.1893364,-0.12234329
4,-0.015149413,0.053633347,0.13809788,0.09407103,-0.05053884
,0,1,2,3,4
0,-0.013960482,-0.0086021405,0.03733756,-0.032773443,0.074413486
1,0.04233527,-0.038249243,-0.005977083,-0.036977608,0.012515333
2,0.063257284,0.06730027,0.0061453623,0.13510332,0.077079825
3,0.013001811,-0.15724924,-0.013281136,0.09125155,0.124447994
4,-0.0023713205,0.035059776,-0.02296,-0.09819337,0.077174716
,0,1,2,3,4
0,-0.07243702,0.0546852,0.11485371,-0.12726536,0.10247511
1,-0.14555347,-0.03749778,-0.07871252,-0.0048825755,0.10848376
2,-0.04885851,-0.13439164,-0.20906404,-0.28500977,-0.19846386
3,-0.0007031646,0.08184341,0.058401402,-0.013475199,-0.04498251
4,0.053872835,0.045120552,-0.07048305,0.01517869,0.010013726
,0,1,2,3,4
0,0.040704347,-0.012339514,-0.009419178,0.07912785,0.022860112
1,0.039985903,-0.07691133,0.022217654,-0.017259777,0.012962405
2,0.074149765,-0.095832594,0.07913086,0.039781235,-0.012311001
3,-0.08295328,0.006580162,0.13841374,0.10293023,-0.019103793
4,-0.08422452,-0.05587437,0.13467623,0.045609165,-0.053943805
,0,1,2,3,4
0,0.0098954495,-0.1483471,0.06439119,-0.08076215,-0.06530177
1,-0.05917033,-0.09240872,-0.033490688,-0.14312829,-0.024130136
2,-0.06415803,-0.014342533,0.15273833,0.026946627,0.09348015
3,-0.0061927107,-0.03293169,0.056109056,0.041771118,0.16397482
