,0
0,-0.024030352
1,-0.105656624
2,-0.017238561
3,0.0028744796
4,0.027967656
5,-0.06749664
6,-0.002313079
7,0.017433234
8,-0.028547034
9,-0.0068231537
10,-0.02710952
11,-0.015411397
12,0.057688706
13,-0.03395445
14,0.06368359
15,0.0018309404
16,-0.034946512
17,-0.005362358
18,0.015566737
19,0.013451911
20,0.0058198706
21,-0.0033294642
22,0.07732476
23,-0.0018471619
24,-0.05695596
25,-0.017354792
26,-0.058461282
27,-0.049738023
28,-0.03955805
29,-0.14916918
30,-0.03520947
31,-0.019081136
32,-0.078166135
33,-0.019000985
34,0.03910197
35,-0.038648687
