,0,1,2,3,4
0,-0.20470594,-0.18484542,-0.058542103,-0.1213744,-0.10187396
1,-0.3330889,-0.23727752,-0.2578393,0.008892009,-0.13124526
2,-0.005794113,-0.2208102,-0.09136129,-0.10898706,-0.31750664
3,-0.035020936,-0.19780059,-0.13084777,-0.4219902,-0.32221025
4,0.3172916,0.28701964,0.030988906,-0.35036242,-0.27788404
,0,1,2,3,4
0,0.027047198,0.11208354,0.004819299,0.07032989,0.020858023
1,0.041193802,0.047014147,-0.010756599,0.052138112,0.042762972
2,-0.06397463,-0.0530634,-0.05577419,0.10811662,-0.09876052
3,-0.023011431,0.020098733,0.036334515,0.0448282,0.026630038
4,-0.04235975,-0.0109605575,-0.012949332,0.08234885,-0.058262408
,0,1,2,3,4
0,-0.21248601,-0.40267742,-0.28744677,-0.0035810808,0.053766493
1,-0.44396442,-0.23016235,-0.10820531,-0.043455984,-0.08971801
2,-0.2247968,0.004448251,0.06483023,0.06485977,0.09506321
3,-0.10970362,-0.19734116,-0.174878,-0.22153904,-0.18741755
4,-0.040423248,0.078379035,0.1525868,0.08176399,-0.16927017
,0,1,2,3,4
0,-0.036034424,0.016374728,0.04656386,-0.013528725,0.08993305
1,0.05014128,-0.042853083,-0.08455169,-0.09368954,-0.0073861885
2,0.09708219,0.0542568,0.013300591,0.123245865,0.10993195
3,-0.0005820949,-0.17247579,-0.062070537,0.08633015,0.12603587
4,-0.0017513095,0.028296495,-0.0038092285,-0.1516899,0.023671413
,0,1,2,3,4
0,-0.05284651,0.08241693,0.15120728,-0.14705807,0.13201535
1,-0.12571399,-0.036226284,-0.092912026,-0.004344307,0.10804864
2,-0.054637242,-0.17071702,-0.22021513,-0.2922107,-0.29140395
3,-0.013579476,0.10687973,0.075825855,-0.020418072,-0.060992323
4,0.10611991,0.11538746,-0.056104563,-0.0001858327,-0.009189875
,0,1,2,3,4
0,0.03177326,-0.0341946,0.030436762,0.12205993,-0.015953626
1,-0.008823429,-0.12151914,0.010079904,0.0011471125,-0.011341545
2,0.053258903,-0.1137141,0.0585338,0.0330011,-0.047402382
3,-0.08620131,-0.016282447,0.13532479,0.11037867,-0.03977664
4,-0.117886625,-0.08683378,0.10770495,0.04918611,-0.03435314
,0,1,2,3,4
0,-0.037317727,-0.18740635,0.09247194,-0.032391053,-0.023710346
1,-0.10860783,-0.10797347,-0.07302563,-0.23651895,-0.062170725
2,-0.07804678,-0.03338438,0.14614534,0.0103703635,0.12084545
3,0.060761932,0.035235163,0.052285384,0.04543785,0.20150399
4,-0.073945366,-0.15610476,-0.07458801,-0.017616792,0.033644363
,0,1,2,3,4
0,-0.076856926,0.06789244,0.04337186,-0.026867852,0.091667
1,0.10958255,0.12616573,0.02414833,0.04472437,0.088268794
2,-0.004382735,-0.014386498,0.08503954,-0.014862924,-0.0048126285
3,0.10041756,0.04391959,0.08322416,0.054560717,-0.023771698
4,-0.098060146,-0.3048292,-0.01722504,0.038277082,-0.0024042677
,0,1,2,3,4
0,0.103840716,-0.010162317,0.010127974,0.092982315,0.01992039
1,-0.056148175,-0.13007285,0.045447383,0.08041969,-0.04763732
2,0.011480076,0.00926266,-0.016847387,-0.015878167,-0.106850006
